CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201520,HM,1,ART,ART,152,34553,Visual Communications,800,950,TR,MMVA,206,G,Jonathan Bouw,3,3,22,22,YES,
201520,HM,1,ART,ART,160,36094,Contemp Strategies in Art/NYC,1100,1250,MW,MMVA,204,G,Suzanne Dittenber,3,3,20,20,YES,
201520,HM,1,ART,ART,203,36095,Drawing II,1800,2130,W,MMVA,210,G,Suzanne Dittenber,3,3,20,20,YES,
201520,HM,1,ART,ART,210,35195,Introduction to Art Education,900,950,MWF,MMVA,8,A,Kathryn Herrmann,3,3,15,15,YES,
201520,HM,1,ART,ART,221,34578,Painting I,1300,1450,MW,MMVA,204,G,Suzanne Dittenber,3,3,16,16,YES,
201520,HM,1,ART,ART,253,34880,Foundations of Photography,1400,1550,TR,MMVA,207,A,James Miles,3,3,21,21,YES,
201520,HM,1,ART,ART,254,34574,Illustration I,1100,1250,MF,MMVA,206,G,Jonathan Bouw,3,3,20,20,YES,
201520,HM,1,ART,ART,257,34028,Layout and Prepress,1300,1450,MW,MMVA,207,G,James Miles,3,3,21,21,YES,
201520,HM,1,ART,ART,261,30003,Film and Darkroom,1230,1350,TR,MMVA,8,G,James Miles,3,3,15,15,YES,
201520,HM,1,ART,ART,271,34602,Three Dimensional Design,1300,1450,MW,MMVA,106,G,Joshua Welker,3,3,16,16,YES,
201520,HM,1,ART,ART,275,36100,Metals I,1300,1450,MW,MMVA,4,G,Kathryn Herrmann,3,3,15,15,YES,
201520,HM,1,ART,ART,281,35520,Ceramics: Handbuilt Forms,1500,1650,MW,MMVA,108,G,Susan Nace,3,3,13,13,YES,
201520,HM,1,ART,ART,300,35196,Art for Teachers,1100,1150,MW,MMVA,8,G,Kathryn Herrmann,2,2,20,20,YES,
201520,HM,1,ART,ART,302,35775,Figure Drawing,1800,2130,W,MMVA,210,G,Suzanne Dittenber,3,3,20,20,YES,
201520,HM,1,ART,ART,313,34536,Western Art History II,1300,1420,TR,RUPP,203,A,Rachel Smith,3,3,30,30,YES,
201520,HM,1,ART,ART,316,36097,Asian Art History,1530,1650,TR,RUPP,203,A,Rachel Smith,3,3,30,30,YES,
201520,HM,1,ART,ART,324,36096,Painting II,1300,1450,MW,MMVA,204,G,Suzanne Dittenber,3,3,20,20,YES,
